'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FALLS CREEK Victoria for November 2019,,,,,,,,,,
Issued at 22:31 GMT on Thursday 14 November 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FALLS CREEK,01/11/2019,6.2,0.0, ,18.1,12.3,53,34,8.82,25.78
FALLS CREEK,02/11/2019,3.2,0.0, ,15.1,11.6,99,47,10.00,12.03
FALLS CREEK,03/11/2019,0.9,31.0, ,9.7,7.4,99,93,6.15,5.88
FALLS CREEK,04/11/2019,2.5,27.0, ,6.6,2.4,99,63,6.12,25.09
FALLS CREEK,05/11/2019,2.8,3.6, ,7.9,-3.1,99,56,4.38,27.24
FALLS CREEK,06/11/2019,1.6,0.4, ,6.5,-0.6,93,66,9.69,8.90
FALLS CREEK,07/11/2019,1.1,1.0, ,2.9,-1.5,99,65,9.39,4.28
FALLS CREEK,08/11/2019,0.7,50.6, ,0.1,-0.9,99,90,7.97,7.13
FALLS CREEK,09/11/2019,1.2,9.0, ,1.8,-5.6,99,82,6.57,15.05
FALLS CREEK,10/11/2019,1.4,6.6, ,6.6,-3.5,99,87,2.88,12.86
FALLS CREEK,11/11/2019,3.8,0.2, ,11.4,1.8,99,41,8.53,29.10
FALLS CREEK,12/11/2019,3.8,0.0, ,12.3,6.1,94,36,8.37,21.43
FALLS CREEK,13/11/2019, ,0.4, , ,-4.3, , , ,23.74
Totals:,,29.2,129.8, ,,,,,, 
