'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BENDIGO AIRPORT Victoria for August 2024,,,,,,,,,,
Issued at 04:35 GMT on Tuesday 27 August 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BENDIGO AIRPORT,01/08/2024,1.4,0.0, ,13.4,-2.0,96,48,2.08,12.06
BENDIGO AIRPORT,02/08/2024, ,0.2, ,14.0,-0.8, , , ,11.47
BENDIGO AIRPORT,03/08/2024,1.3,0.0, ,15.4,2.0,96,50,1.56,10.61
BENDIGO AIRPORT,04/08/2024,1.3,0.0, ,14.8,-0.5,98,48,1.26,11.25
BENDIGO AIRPORT,05/08/2024,1.0,0.0, ,12.7,3.8,97,64,1.14,7.47
BENDIGO AIRPORT,06/08/2024,1.4,0.2, ,15.1,0.3,100,50,1.71,10.97
BENDIGO AIRPORT,07/08/2024,1.3,0.0, ,15.6,-0.5,98,54,1.16,11.59
BENDIGO AIRPORT,08/08/2024,1.3,0.0, ,13.8,0.1,98,58,2.29,8.73
BENDIGO AIRPORT,09/08/2024,1.3,0.0, ,16.3,5.5,96,53,0.95,10.82
BENDIGO AIRPORT,10/08/2024,1.5,0.2, ,17.6,0.4,99,47,1.18,12.43
BENDIGO AIRPORT,11/08/2024,1.6,0.0, ,17.6,0.7,98,49,1.54,13.27
BENDIGO AIRPORT,12/08/2024,2.1,0.0, ,18.6,2.9,97,47,2.72,13.35
BENDIGO AIRPORT,13/08/2024,1.7,0.0, ,18.5,3.6,100,62,2.41,12.96
BENDIGO AIRPORT,14/08/2024,1.8,0.0, ,18.6,5.5,99,61,2.49,12.33
BENDIGO AIRPORT,15/08/2024,1.8,0.4, ,19.3,8.3,100,61,2.52,10.80
BENDIGO AIRPORT,16/08/2024,1.2,1.2, ,14.6,7.4,99,72,3.48,5.86
BENDIGO AIRPORT,17/08/2024,1.3,8.0, ,15.0,6.2,100,74,2.82,9.15
BENDIGO AIRPORT,18/08/2024,1.9,4.0, ,18.5,5.0,100,47,2.02,12.56
BENDIGO AIRPORT,19/08/2024,1.4,0.0, ,14.9,5.5,100,73,3.30,10.11
BENDIGO AIRPORT,20/08/2024,1.1,0.2, ,14.3,8.7,99,79,3.33,6.43
BENDIGO AIRPORT,21/08/2024,1.6,8.8, ,15.8,7.4,100,63,2.72,9.57
BENDIGO AIRPORT,22/08/2024,1.8,1.8, ,16.9,6.0,100,54,2.00,12.02
BENDIGO AIRPORT,23/08/2024, ,0.0, , ,4.3,100,65,3.02,9.25
BENDIGO AIRPORT,24/08/2024,2.1, , ,18.6,4.5,100,61,2.86,14.53
BENDIGO AIRPORT,25/08/2024,2.7,0.2, ,22.7,7.1,99,59,5.33,10.42
BENDIGO AIRPORT,26/08/2024,2.2,18.0, ,17.0,9.2,91,59,3.93,13.09
Totals:,,38.1,43.2, ,,,,,, 
